date,price,open,high,low,volume,change_percent
"Nov 22, 2017",0.495,0.485,0.500,0.485,887.40K,1.02%
"Nov 21, 2017",0.490,0.500,0.500,0.490,3.09M,-2.00%
"Nov 20, 2017",0.500,0.510,0.510,0.500,2.09M,-0.99%
"Nov 17, 2017",0.505,0.500,0.510,0.500,906.40K,1.00%
"Nov 16, 2017",0.500,0.505,0.510,0.500,1.91M,-0.99%
"Nov 15, 2017",0.505,0.505,0.510,0.505,1.08M,0.00%
"Nov 14, 2017",0.505,0.510,0.515,0.505,2.50M,-0.98%
"Nov 13, 2017",0.510,0.510,0.515,0.510,550.20K,0.00%
"Nov 10, 2017",0.510,0.510,0.515,0.505,1.78M,0.00%
"Nov 09, 2017",0.510,0.505,0.520,0.505,1.46M,0.99%
"Nov 08, 2017",0.505,0.520,0.520,0.505,8.12M,-2.88%
"Nov 07, 2017",0.520,0.520,0.525,0.520,763.50K,0.00%
"Nov 06, 2017",0.520,0.520,0.530,0.515,1.40M,0.97%
"Nov 03, 2017",0.515,0.525,0.525,0.515,2.03M,-1.90%
"Nov 02, 2017",0.525,0.530,0.530,0.525,838.10K,0.00%
"Nov 01, 2017",0.525,0.540,0.540,0.525,1.28M,-2.78%
"Oct 31, 2017",0.540,0.525,0.540,0.515,3.26M,2.86%
"Oct 30, 2017",0.525,0.535,0.535,0.515,4.87M,-1.87%
"Oct 27, 2017",0.535,0.535,0.540,0.530,1.08M,0.00%
"Oct 26, 2017",0.535,0.535,0.540,0.530,777.10K,0.00%
"Oct 25, 2017",0.535,0.555,0.560,0.535,2.56M,-3.60%
"Oct 24, 2017",0.555,0.560,0.580,0.545,16.41M,-1.77%
"Oct 23, 2017",0.565,0.535,0.570,0.525,20.96M,7.62%
"Oct 20, 2017",0.525,0.515,0.530,0.515,1.11M,1.94%
"Oct 19, 2017",0.515,0.520,0.520,0.510,928.90K,0.00%
"Oct 17, 2017",0.515,0.515,0.520,0.515,1.39M,-0.96%
"Oct 16, 2017",0.520,0.520,0.520,0.515,376.70K,0.97%
"Oct 13, 2017",0.515,0.520,0.525,0.515,600.10K,-0.96%
"Oct 12, 2017",0.520,0.520,0.525,0.520,878.30K,-0.95%
"Oct 11, 2017",0.525,0.525,0.525,0.515,1.48M,0.00%
"Oct 10, 2017",0.525,0.525,0.530,0.520,819.00K,0.00%
"Oct 09, 2017",0.525,0.530,0.530,0.520,1.20M,0.00%
"Oct 06, 2017",0.525,0.515,0.530,0.515,1.42M,1.94%
"Oct 05, 2017",0.515,0.515,0.525,0.515,486.50K,0.00%
"Oct 04, 2017",0.515,0.515,0.520,0.510,736.80K,0.98%
"Oct 03, 2017",0.510,0.525,0.530,0.510,1.23M,-3.77%
"Oct 02, 2017",0.530,0.515,0.540,0.515,1.44M,2.91%
"Sep 29, 2017",0.515,0.510,0.520,0.510,1.19M,0.98%
"Sep 28, 2017",0.510,0.510,0.515,0.510,470.20K,-0.97%
"Sep 27, 2017",0.515,0.520,0.520,0.510,1.59M,0.00%
"Sep 26, 2017",0.515,0.520,0.520,0.515,636.30K,-0.96%
"Sep 25, 2017",0.520,0.515,0.525,0.515,444.00K,0.00%
"Sep 21, 2017",0.520,0.525,0.525,0.515,1.44M,-0.95%
"Sep 20, 2017",0.525,0.525,0.530,0.525,625.60K,0.00%
"Sep 19, 2017",0.525,0.525,0.530,0.525,477.80K,0.00%
"Sep 18, 2017",0.525,0.530,0.535,0.525,733.30K,-0.94%
"Sep 15, 2017",0.530,0.535,0.535,0.525,796.80K,-0.93%
"Sep 14, 2017",0.535,0.540,0.545,0.535,955.30K,0.00%
"Sep 13, 2017",0.535,0.540,0.545,0.535,1.26M,0.00%
"Sep 12, 2017",0.535,0.540,0.540,0.530,578.70K,0.00%
"Sep 11, 2017",0.535,0.540,0.545,0.535,1.05M,-0.93%
"Sep 08, 2017",0.540,0.540,0.550,0.540,1.14M,0.00%
"Sep 07, 2017",0.540,0.535,0.545,0.535,1.17M,0.93%
"Sep 06, 2017",0.535,0.520,0.535,0.520,758.90K,2.88%
"Sep 05, 2017",0.520,0.525,0.530,0.520,1.30M,-0.95%
"Aug 30, 2017",0.525,0.530,0.530,0.520,2.04M,0.00%
"Aug 29, 2017",0.525,0.525,0.530,0.525,573.50K,0.00%
"Aug 28, 2017",0.525,0.530,0.530,0.525,751.60K,0.00%
"Aug 25, 2017",0.525,0.535,0.540,0.525,4.40M,-0.94%
"Aug 24, 2017",0.530,0.550,0.555,0.530,4.06M,-3.64%
"Aug 23, 2017",0.550,0.550,0.555,0.550,1.32M,0.00%
"Aug 22, 2017",0.550,0.555,0.560,0.550,1.67M,-0.90%
"Aug 21, 2017",0.555,0.555,0.560,0.550,1.98M,-0.89%
"Aug 18, 2017",0.560,0.565,0.565,0.550,7.93M,-4.27%
"Aug 17, 2017",0.585,0.580,0.585,0.580,725.50K,0.86%
"Aug 16, 2017",0.580,0.580,0.585,0.575,1.00M,0.00%
"Aug 15, 2017",0.580,0.575,0.585,0.575,449.70K,1.75%
"Aug 14, 2017",0.570,0.570,0.575,0.565,2.40M,-0.87%
"Aug 11, 2017",0.575,0.580,0.580,0.570,1.58M,-1.71%
"Aug 10, 2017",0.585,0.580,0.590,0.575,1.97M,0.86%
"Aug 09, 2017",0.580,0.590,0.590,0.580,1.94M,-2.52%
"Aug 08, 2017",0.595,0.605,0.615,0.590,6.36M,-1.65%
"Aug 07, 2017",0.605,0.595,0.605,0.585,5.73M,1.68%
"Aug 04, 2017",0.595,0.570,0.600,0.570,5.04M,4.39%
"Aug 03, 2017",0.570,0.575,0.580,0.570,520.00K,-0.87%
"Aug 02, 2017",0.575,0.585,0.585,0.570,1.50M,0.88%
"Aug 01, 2017",0.570,0.575,0.580,0.570,987.70K,0.00%
"Jul 31, 2017",0.570,0.580,0.585,0.570,2.35M,-1.72%
"Jul 28, 2017",0.580,0.585,0.585,0.580,930.30K,0.00%
"Jul 27, 2017",0.580,0.580,0.590,0.580,988.50K,0.00%
"Jul 26, 2017",0.580,0.580,0.585,0.580,1.12M,0.87%
"Jul 25, 2017",0.575,0.575,0.580,0.570,1.97M,0.00%
"Jul 24, 2017",0.575,0.580,0.585,0.575,904.10K,-0.86%
"Jul 21, 2017",0.580,0.580,0.585,0.575,1.01M,0.87%
"Jul 20, 2017",0.575,0.580,0.590,0.575,3.32M,-0.86%
"Jul 19, 2017",0.580,0.580,0.590,0.580,1.09M,0.87%
"Jul 18, 2017",0.575,0.575,0.580,0.575,389.40K,0.88%
"Jul 17, 2017",0.570,0.575,0.585,0.570,1.60M,-0.87%
"Jul 14, 2017",0.575,0.575,0.580,0.575,1.35M,0.00%
"Jul 13, 2017",0.575,0.585,0.585,0.575,1.43M,-0.86%
"Jul 12, 2017",0.580,0.580,0.585,0.575,1.06M,0.87%
"Jul 11, 2017",0.575,0.590,0.590,0.575,1.03M,-1.71%
"Jul 10, 2017",0.585,0.590,0.595,0.580,1.13M,-0.85%
"Jul 07, 2017",0.590,0.585,0.590,0.585,979.90K,0.85%
"Jul 06, 2017",0.585,0.595,0.595,0.585,841.00K,-0.85%
"Jul 05, 2017",0.590,0.605,0.605,0.590,1.41M,-2.48%
"Jul 04, 2017",0.605,0.585,0.610,0.580,5.46M,3.42%
"Jul 03, 2017",0.585,0.580,0.585,0.580,533.50K,0.86%
"Jun 30, 2017",0.580,0.580,0.580,0.575,1.10M,0.00%
"Jun 29, 2017",0.580,0.585,0.585,0.575,1.74M,-0.85%
"Jun 28, 2017",0.585,0.585,0.585,0.580,574.80K,0.00%
"Jun 23, 2017",0.585,0.580,0.585,0.575,345.10K,1.74%
"Jun 22, 2017",0.575,0.575,0.585,0.570,1.53M,0.88%
"Jun 21, 2017",0.570,0.585,0.585,0.570,2.89M,-2.56%
"Jun 20, 2017",0.585,0.595,0.595,0.580,2.77M,0.00%
"Jun 19, 2017",0.585,0.590,0.595,0.585,1.01M,0.00%
"Jun 16, 2017",0.585,0.605,0.605,0.580,7.03M,-2.50%
"Jun 15, 2017",0.600,0.625,0.635,0.600,9.60M,-4.76%
"Jun 14, 2017",0.630,0.615,0.635,0.610,4.75M,2.44%
"Jun 13, 2017",0.615,0.610,0.615,0.605,1.76M,0.82%
"Jun 09, 2017",0.610,0.615,0.620,0.610,2.42M,-1.61%
"Jun 08, 2017",0.620,0.615,0.620,0.610,965.20K,0.81%
"Jun 07, 2017",0.615,0.620,0.620,0.615,952.20K,-0.81%
"Jun 06, 2017",0.620,0.615,0.630,0.610,3.12M,1.64%
"Jun 05, 2017",0.610,0.615,0.620,0.610,2.27M,0.00%
"Jun 02, 2017",0.610,0.615,0.615,0.600,6.78M,1.67%
"Jun 01, 2017",0.600,0.605,0.610,0.595,3.11M,-0.83%
"May 31, 2017",0.605,0.605,0.610,0.600,6.07M,-0.82%
"May 30, 2017",0.610,0.615,0.635,0.595,14.62M,-1.61%
"May 29, 2017",0.620,0.640,0.640,0.620,3.11M,-3.12%
"May 26, 2017",0.640,0.655,0.670,0.630,6.44M,-2.29%
"May 25, 2017",0.655,0.645,0.665,0.635,8.82M,1.55%
"May 24, 2017",0.645,0.640,0.650,0.630,5.09M,0.78%
"May 23, 2017",0.640,0.650,0.660,0.635,6.10M,-1.54%
"May 22, 2017",0.650,0.670,0.675,0.650,6.00M,-2.99%
"May 19, 2017",0.670,0.680,0.690,0.670,15.42M,0.75%
"May 18, 2017",0.665,0.670,0.670,0.660,2.97M,-2.21%
