date,price,open,high,low,volume,change_percent
"Dec 04, 2017",0.117,0.115,0.120,0.115,18.85M,1.74%
"Nov 30, 2017",0.115,0.117,0.117,0.115,4.79M,-1.71%
"Nov 29, 2017",0.117,0.115,0.117,0.115,2.27M,0.00%
"Nov 28, 2017",0.117,0.117,0.117,0.115,2.20M,0.00%
"Nov 27, 2017",0.117,0.120,0.120,0.115,7.22M,-2.50%
"Nov 24, 2017",0.120,0.117,0.120,0.117,7.06M,0.00%
"Nov 23, 2017",0.120,0.120,0.120,0.117,4.48M,0.00%
"Nov 22, 2017",0.120,0.120,0.120,0.117,4.00M,0.00%
"Nov 21, 2017",0.120,0.117,0.120,0.115,17.83M,4.35%
"Nov 20, 2017",0.115,0.117,0.120,0.115,9.43M,0.00%
"Nov 17, 2017",0.115,0.117,0.117,0.115,3.63M,-1.71%
"Nov 16, 2017",0.117,0.115,0.117,0.112,14.87M,1.74%
"Nov 15, 2017",0.115,0.120,0.120,0.115,39.45M,-1.71%
"Nov 14, 2017",0.117,0.117,0.120,0.115,11.08M,0.00%
"Nov 13, 2017",0.117,0.117,0.117,0.115,7.67M,-2.50%
"Nov 10, 2017",0.120,0.115,0.120,0.115,17.14M,2.56%
"Nov 09, 2017",0.117,0.117,0.120,0.117,6.19M,-2.50%
"Nov 08, 2017",0.120,0.115,0.120,0.115,9.03M,4.35%
"Nov 07, 2017",0.115,0.117,0.117,0.115,9.29M,-1.71%
"Nov 06, 2017",0.117,0.122,0.122,0.117,19.85M,-4.10%
"Nov 03, 2017",0.122,0.120,0.122,0.120,4.38M,1.67%
"Nov 02, 2017",0.120,0.122,0.122,0.120,7.78M,0.00%
"Nov 01, 2017",0.120,0.124,0.124,0.120,9.09M,-1.64%
"Oct 31, 2017",0.122,0.127,0.127,0.122,19.22M,-3.94%
"Oct 30, 2017",0.127,0.129,0.129,0.124,17.24M,0.00%
"Oct 27, 2017",0.127,0.127,0.129,0.124,22.60M,2.42%
"Oct 26, 2017",0.124,0.129,0.129,0.124,21.79M,-2.36%
"Oct 25, 2017",0.127,0.124,0.127,0.120,47.99M,2.42%
"Oct 24, 2017",0.124,0.124,0.127,0.122,21.69M,0.00%
"Oct 23, 2017",0.124,0.124,0.127,0.124,11.75M,0.00%
"Oct 20, 2017",0.124,0.127,0.129,0.122,52.75M,-2.36%
"Oct 19, 2017",0.127,0.132,0.134,0.127,13.53M,-3.79%
"Oct 17, 2017",0.132,0.129,0.134,0.129,21.88M,0.00%
"Oct 16, 2017",0.132,0.134,0.137,0.129,36.47M,-3.65%
"Oct 13, 2017",0.137,0.134,0.137,0.132,62.97M,3.79%
"Oct 12, 2017",0.132,0.132,0.134,0.129,72.75M,2.33%
"Oct 11, 2017",0.129,0.129,0.134,0.127,64.30M,1.57%
"Oct 10, 2017",0.127,0.129,0.132,0.127,25.16M,-1.55%
"Oct 09, 2017",0.129,0.129,0.132,0.127,50.52M,1.57%
"Oct 06, 2017",0.127,0.127,0.129,0.124,15.30M,0.00%
"Oct 05, 2017",0.127,0.127,0.129,0.124,38.44M,2.42%
"Oct 04, 2017",0.124,0.132,0.132,0.124,50.58M,-3.88%
"Oct 03, 2017",0.129,0.124,0.137,0.124,111.86M,4.03%
"Oct 02, 2017",0.124,0.127,0.127,0.122,16.66M,0.00%
"Sep 29, 2017",0.124,0.124,0.127,0.122,15.29M,0.00%
"Sep 28, 2017",0.124,0.124,0.127,0.122,22.57M,0.00%
"Sep 27, 2017",0.124,0.127,0.129,0.122,23.03M,-3.88%
"Sep 26, 2017",0.129,0.127,0.132,0.122,59.46M,1.57%
"Sep 25, 2017",0.127,0.120,0.129,0.120,75.19M,8.55%
"Sep 21, 2017",0.117,0.115,0.120,0.112,16.62M,1.74%
"Sep 20, 2017",0.115,0.115,0.117,0.112,29.81M,-1.71%
"Sep 19, 2017",0.117,0.120,0.120,0.115,13.87M,-2.50%
"Sep 18, 2017",0.120,0.120,0.122,0.117,15.14M,0.00%
"Sep 15, 2017",0.120,0.122,0.122,0.117,16.06M,-1.64%
"Sep 14, 2017",0.122,0.120,0.122,0.120,3.86M,1.67%
"Sep 13, 2017",0.120,0.117,0.127,0.117,61.83M,0.00%
"Sep 12, 2017",0.120,0.120,0.122,0.117,7.77M,0.00%
"Sep 11, 2017",0.120,0.122,0.122,0.120,6.79M,0.00%
"Sep 08, 2017",0.120,0.115,0.122,0.115,42.50M,4.35%
"Sep 07, 2017",0.115,0.115,0.117,0.115,22.90M,2.68%
"Sep 06, 2017",0.112,0.115,0.117,0.112,21.37M,-4.27%
"Sep 05, 2017",0.117,0.110,0.117,0.107,47.27M,11.43%
"Aug 30, 2017",0.105,0.110,0.110,0.105,2.94M,-4.55%
"Aug 29, 2017",0.110,0.112,0.112,0.107,9.77M,0.00%
"Aug 28, 2017",0.110,0.105,0.112,0.103,26.28M,4.76%
"Aug 25, 2017",0.105,0.105,0.105,0.105,3.53M,0.00%
"Aug 24, 2017",0.105,0.105,0.107,0.105,2.28M,0.00%
"Aug 23, 2017",0.105,0.105,0.107,0.105,2.46M,0.00%
"Aug 22, 2017",0.105,0.105,0.107,0.105,2.95M,-1.87%
"Aug 21, 2017",0.107,0.105,0.107,0.105,3.45M,1.90%
"Aug 18, 2017",0.105,0.105,0.105,0.103,5.54M,0.00%
"Aug 17, 2017",0.105,0.107,0.107,0.105,2.45M,-1.87%
"Aug 16, 2017",0.107,0.105,0.107,0.105,8.84M,0.00%
"Aug 15, 2017",0.107,0.103,0.107,0.103,9.59M,3.88%
"Aug 14, 2017",0.103,0.100,0.105,0.100,12.69M,5.10%
"Aug 11, 2017",0.098,0.100,0.100,0.098,14.47M,-2.00%
"Aug 10, 2017",0.100,0.103,0.103,0.100,10.86M,-4.76%
"Aug 09, 2017",0.105,0.105,0.107,0.103,6.18M,-1.87%
"Aug 08, 2017",0.107,0.110,0.110,0.100,36.90M,-2.73%
"Aug 07, 2017",0.110,0.112,0.115,0.107,17.73M,-1.79%
"Aug 04, 2017",0.112,0.115,0.115,0.112,19.64M,-2.61%
"Aug 03, 2017",0.115,0.115,0.115,0.110,27.38M,0.00%
"Aug 02, 2017",0.115,0.117,0.120,0.115,35.55M,-1.71%
"Aug 01, 2017",0.117,0.120,0.122,0.117,27.95M,0.00%
"Jul 31, 2017",0.117,0.120,0.120,0.117,7.10M,-2.50%
"Jul 28, 2017",0.120,0.120,0.122,0.120,19.32M,-1.64%
"Jul 27, 2017",0.122,0.117,0.122,0.117,24.78M,4.27%
"Jul 26, 2017",0.117,0.117,0.120,0.117,4.17M,-2.50%
"Jul 25, 2017",0.120,0.120,0.120,0.117,16.31M,0.00%
"Jul 24, 2017",0.120,0.120,0.122,0.120,11.13M,0.00%
"Jul 21, 2017",0.120,0.122,0.122,0.120,9.32M,0.00%
"Jul 20, 2017",0.120,0.122,0.124,0.120,15.67M,-1.64%
"Jul 19, 2017",0.122,0.127,0.127,0.122,10.80M,-3.94%
"Jul 18, 2017",0.127,0.122,0.127,0.122,15.12M,4.10%
"Jul 17, 2017",0.122,0.122,0.127,0.122,22.13M,0.00%
"Jul 14, 2017",0.122,0.122,0.124,0.120,31.45M,0.00%
"Jul 13, 2017",0.122,0.124,0.127,0.122,15.99M,-1.61%
"Jul 12, 2017",0.124,0.120,0.124,0.120,7.71M,3.33%
"Jul 11, 2017",0.120,0.122,0.124,0.120,15.47M,-1.64%
"Jul 10, 2017",0.122,0.124,0.127,0.122,12.79M,-1.61%
"Jul 07, 2017",0.124,0.127,0.127,0.122,11.34M,-2.36%
"Jul 06, 2017",0.127,0.132,0.132,0.127,12.41M,-1.55%
"Jul 05, 2017",0.129,0.129,0.132,0.127,22.93M,1.57%
"Jul 04, 2017",0.127,0.129,0.134,0.127,37.64M,-1.55%
"Jul 03, 2017",0.129,0.122,0.129,0.122,43.66M,7.50%
"Jun 30, 2017",0.120,0.120,0.122,0.117,20.45M,-1.64%
"Jun 29, 2017",0.122,0.117,0.122,0.117,23.38M,4.27%
"Jun 28, 2017",0.117,0.122,0.122,0.117,12.77M,-4.10%
"Jun 23, 2017",0.122,0.120,0.122,0.120,7.69M,1.67%
"Jun 22, 2017",0.120,0.117,0.122,0.117,9.70M,2.56%
"Jun 21, 2017",0.117,0.120,0.120,0.115,33.73M,-2.50%
"Jun 20, 2017",0.120,0.124,0.124,0.120,25.01M,-1.64%
"Jun 19, 2017",0.122,0.127,0.132,0.122,43.17M,-3.94%
"Jun 16, 2017",0.127,0.129,0.132,0.127,26.06M,0.00%
"Jun 15, 2017",0.127,0.132,0.132,0.127,43.98M,-3.79%
"Jun 14, 2017",0.132,0.132,0.137,0.129,92.06M,0.00%
"Jun 13, 2017",0.132,0.120,0.139,0.120,240.30M,12.82%
"Jun 09, 2017",0.117,0.112,0.120,0.110,36.13M,4.46%
"Jun 08, 2017",0.112,0.115,0.115,0.112,13.61M,-2.61%
"Jun 07, 2017",0.115,0.117,0.117,0.112,14.98M,0.00%
"Jun 06, 2017",0.115,0.120,0.120,0.115,18.27M,-1.71%
"Jun 05, 2017",0.117,0.117,0.120,0.115,26.20M,0.00%
"Jun 02, 2017",0.117,0.112,0.117,0.112,52.45M,4.46%
"Jun 01, 2017",0.112,0.112,0.115,0.107,62.90M,-4.27%
"May 31, 2017",0.117,0.124,0.127,0.117,47.27M,-7.87%
"May 30, 2017",0.127,0.129,0.129,0.127,39.96M,0.00%
"May 29, 2017",0.127,0.132,0.134,0.127,43.31M,-1.55%
"May 26, 2017",0.129,0.134,0.134,0.127,45.13M,-2.27%
"May 25, 2017",0.132,0.129,0.134,0.127,50.82M,3.94%
"May 24, 2017",0.127,0.132,0.134,0.127,40.77M,-3.79%
"May 23, 2017",0.132,0.134,0.137,0.127,131.05M,-1.49%
"May 22, 2017",0.134,0.139,0.142,0.132,84.32M,-3.60%
"May 19, 2017",0.139,0.142,0.144,0.137,54.51M,0.00%
"May 18, 2017",0.139,0.137,0.142,0.137,120.48M,-2.11%
"May 17, 2017",0.142,0.124,0.161,0.124,579.40M,16.39%
"May 16, 2017",0.122,0.122,0.129,0.117,185.24M,1.67%
"May 15, 2017",0.120,0.122,0.124,0.117,41.06M,-1.64%
"May 12, 2017",0.122,0.122,0.124,0.120,24.65M,0.00%
"May 11, 2017",0.122,0.124,0.129,0.122,129.23M,1.67%
"May 09, 2017",0.120,0.122,0.122,0.120,20.48M,0.00%
"May 08, 2017",0.120,0.117,0.127,0.117,127.02M,0.00%
"May 05, 2017",0.120,0.120,0.120,0.117,21.54M,0.00%
"May 04, 2017",0.120,0.120,0.120,0.117,36.29M,-1.64%
"May 03, 2017",0.122,0.120,0.124,0.117,112.23M,4.27%
"May 02, 2017",0.117,0.122,0.122,0.117,26.99M,-2.50%
"Apr 28, 2017",0.120,0.120,0.122,0.117,38.74M,-1.64%
"Apr 27, 2017",0.122,0.117,0.124,0.115,125.95M,6.09%
"Apr 26, 2017",0.115,0.120,0.122,0.115,78.35M,-1.71%
"Apr 25, 2017",0.117,0.120,0.124,0.117,88.59M,0.00%
"Apr 21, 2017",0.117,0.115,0.120,0.115,85.75M,4.46%
"Apr 20, 2017",0.112,0.115,0.117,0.112,99.87M,-2.61%
"Apr 19, 2017",0.115,0.120,0.122,0.112,110.48M,-4.17%
"Apr 18, 2017",0.120,0.124,0.127,0.120,146.73M,0.00%
"Apr 17, 2017",0.120,0.120,0.124,0.117,73.28M,0.00%
"Apr 14, 2017",0.120,0.122,0.124,0.112,146.80M,0.00%
"Apr 13, 2017",0.120,0.115,0.129,0.115,338.93M,4.35%
"Apr 12, 2017",0.115,0.115,0.120,0.112,121.00M,-1.71%
"Apr 11, 2017",0.117,0.098,0.124,0.095,510.29M,19.39%
"Apr 10, 2017",0.098,0.100,0.100,0.098,18.86M,0.00%
"Apr 07, 2017",0.098,0.098,0.103,0.095,128.95M,0.00%
"Apr 06, 2017",0.098,0.098,0.100,0.093,42.93M,3.16%
"Apr 05, 2017",0.095,0.088,0.098,0.088,129.78M,7.95%
"Apr 04, 2017",0.088,0.093,0.093,0.088,30.75M,-5.38%
"Apr 03, 2017",0.093,0.088,0.093,0.088,43.03M,5.68%
"Mar 31, 2017",0.088,0.090,0.090,0.086,27.89M,0.00%
"Mar 30, 2017",0.088,0.090,0.093,0.088,21.16M,-2.22%
"Mar 29, 2017",0.090,0.090,0.093,0.088,41.71M,2.27%
"Mar 28, 2017",0.088,0.088,0.093,0.088,53.36M,0.00%
"Mar 27, 2017",0.088,0.093,0.093,0.088,45.09M,-2.22%
"Mar 24, 2017",0.090,0.095,0.095,0.090,49.33M,-5.26%
"Mar 23, 2017",0.095,0.098,0.100,0.093,80.58M,0.00%
"Mar 22, 2017",0.095,0.093,0.098,0.088,104.90M,2.15%
"Mar 21, 2017",0.093,0.098,0.100,0.093,97.10M,-5.10%
"Mar 20, 2017",0.098,0.103,0.103,0.098,104.22M,-2.00%
"Mar 17, 2017",0.100,0.103,0.107,0.100,121.47M,-2.91%
"Mar 16, 2017",0.103,0.098,0.107,0.098,210.67M,5.10%
"Mar 15, 2017",0.098,0.095,0.105,0.095,227.80M,3.16%
"Mar 14, 2017",0.095,0.100,0.100,0.088,407.00M,-3.06%
"Mar 13, 2017",0.098,0.073,0.105,0.071,847.84M,38.03%
"Mar 10, 2017",0.071,0.071,0.073,0.068,51.78M,4.41%
"Mar 09, 2017",0.068,0.073,0.073,0.068,59.43M,-6.85%
"Mar 08, 2017",0.073,0.083,0.086,0.071,183.30M,-6.41%
"Mar 07, 2017",0.078,0.064,0.081,0.064,207.30M,21.87%
