name,link,last,high,low,change,change_percent,volume
NetX,https://www.investing.com/equities/netx-holdings-bhd,0.025,0.025,0.020,0.000,0.00%,1.34M
OCK Group,https://www.investing.com/equities/ock-group-bhd,0.600,0.600,0.580,0.000,0.00%,1.34M
Engtex,https://www.investing.com/equities/engtex-group-bhd,0.980,1.010,0.970,-0.040,-3.92%,1.33M
Datasonic,https://www.investing.com/equities/datasonic-group-bhd,0.750,0.760,0.735,-0.005,-0.66%,1.29M
Minho M Bhd,https://www.investing.com/equities/minho-m-bhd,0.550,0.575,0.525,+0.010,+1.85%,1.29M
Uchi Technologies Bhd,https://www.investing.com/equities/uchi-technologies-bhd,3.050,3.060,3.010,-0.010,-0.33%,1.29M
China Ouhua Winery,https://www.investing.com/equities/china-ouhua-winery-holdings,0.040,0.040,0.035,0.000,0.00%,1.26M
Faber,https://www.investing.com/equities/faber-group-bhd,2.700,2.700,2.490,+0.210,+8.43%,1.26M
Eversendai Corp,https://www.investing.com/equities/eversendai-corporation-bhd,0.690,0.690,0.665,+0.020,+2.99%,1.22M
Chemical Co Malaysia,https://www.investing.com/equities/chemical-company-of-malaysia,1.970,1.980,1.880,+0.090,+4.79%,1.21M
M K Land,https://www.investing.com/equities/m-k-land-holdings-bhd,0.210,0.220,0.210,-0.010,-4.55%,1.21M
Ideal Jacobs Malaysia,https://www.investing.com/equities/ideal-jacobs-malaysia-corporation,0.275,0.275,0.260,0.000,0.00%,1.21M
Tomypak Holdings Bhd,https://www.investing.com/equities/tomypak-holdings-bhd,0.740,0.740,0.680,+0.015,+2.07%,1.20M
Radiant Globaltech,https://www.investing.com/equities/radiant-globaltech,0.290,0.295,0.290,-0.010,-3.33%,1.19M
TDM,https://www.investing.com/equities/tdm-bhd,0.240,0.245,0.240,0.000,0.00%,1.18M
Bioalpha,https://www.investing.com/equities/bioalpha-holdings-bhd,0.250,0.255,0.250,0.000,0.00%,1.17M
MISC,https://www.investing.com/equities/misc-bhd,5.90,5.95,5.86,+0.02,+0.34%,1.15M
Astro Malaysia,https://www.investing.com/equities/astro-malaysia-holdings-bhd,1.770,1.830,1.770,-0.030,-1.67%,1.14M
QL Resources,https://www.investing.com/equities/ql-resources-bhd,6.000,6.030,5.990,0.000,0.00%,1.14M
Asia Knight,https://www.investing.com/equities/asia-knight-bhd,0.155,0.160,0.155,-0.005,-3.13%,1.14M
P.A. Resources Bhd,https://www.investing.com/equities/p.a.-resources-bhd,0.050,0.050,0.050,0.000,0.00%,1.14M
Gas Malaysia,https://www.investing.com/equities/gas-malaysia-bhd,2.880,2.900,2.870,0.000,0.00%,1.13M
Hiap Huat,https://www.investing.com/equities/hiap-huat-holdings-bhd,0.105,0.105,0.100,+0.005,+5.00%,1.12M
Fajarbaru Builder,https://www.investing.com/equities/fajarbaru-builder-group-bhd,0.410,0.420,0.410,-0.005,-1.20%,1.11M
Kuala Lumpur Kepong,https://www.investing.com/equities/kuala-lumpur-kepong-bhd,24.90,25.00,24.86,-0.04,-0.16%,1.10M
Sunway Construction Group Bhd,https://www.investing.com/equities/sunway-construction-group-bhd,1.780,1.810,1.760,-0.030,-1.66%,1.10M
