code,name,yield_sum,yield_mean,url
2836,Carlsberg Brewery Malaysia Bhd (CBMS),10.19,10.19,https://www.investing.com/equities/carlsberg-brewery-malaysia-bhd
5015,APM Automotive Holdings Bhd (APMA),9.99,9.99,https://www.investing.com/equities/apm-automotive-holdings-bhd
5138,Hap Seng Plantations Holdings Bhd (HAPP),9.98,9.98,https://www.investing.com/equities/hap-seng-plantations-holdings-bhd
3662,Malayan Flour Mills Bhd (MFMS),9.84,9.84,https://www.investing.com/equities/malayan-flour-mills-bhd
5053,OSK Holdings Bhd (OSKH),9.79,9.79,https://www.investing.com/equities/osk-holdings-bhd
6556,Ann Joo Resources Bhd (ANNJ),9.74,9.74,https://www.investing.com/equities/ann-joo-resources-bhd
6645,Lingkaran Trans Kota Holdings Bhd (LTKH),9.55,9.55,https://www.investing.com/equities/lingkaran-trans-kota-holdings-bhd
7033,Kumpulan H & L High-Tech Bhd (KHLH),9.42,9.42,https://www.investing.com/equities/kumpulan-h-l-high-tech
5681,Petronas Dagangan Bhd (PETR),9.41,9.41,https://www.investing.com/equities/petronas-dagangan-bhd
5081,Esthetics International Group (ESTH),9.24,9.24,https://www.investing.com/equities/esthetics-international-group
5099,Airasia Bhd (AIRA),9.13,9.13,https://www.investing.com/equities/airasia-bhd
5278,Rhone Ma Holdings Bhd (RHON),8.86,8.86,https://www.investing.com/equities/rhone-ma-holdings-bhd
5162,ECS ICT Bhd (ECSI),8.75,8.75,https://www.investing.com/equities/ecs-ict-bhd
5143,Luxchem Corporation Bhd (LCBH),8.5,8.5,https://www.investing.com/equities/luxchem-corporation-bhd
