symbol,name,code
EAH,EA HOLDINGS BHD,0154
EASTLND,EASTLAND EQUITY BHD,2097
EATECH,EA TECHNIQUE (M) BHD,5259
ECM,ECM LIBRA FINANCIAL GROUP BHD,2143
ECOFIRS,ECOFIRST CONSOLIDATED BHD,3557
ECONBHD,ECONPILE HOLDINGS BHD,5253
ECOWLD,ECO WORLD DEVELOPMENT GROUP BHD,8206
ECS,ECS ICT BHD,5162
EDARAN,EDARAN BHD,5036
EDEN,EDEN INC BHD,7471
EDGENTA,UEM EDGENTA BHD,1368
EDUSPEC,EDUSPEC HOLDINGS BHD,0107
EFFICEN,EFFICIENT E-SOLUTIONS BHD,0064
EFORCE,EXCEL FORCE MSC BHD,0065
EG,EG INDUSTRIES BHD,8907
EIG,ESTHETICS INTERNATIONAL GROUP BHD,5081
EITA,EITA RESOURCES BHD,5208
EKA,EKA NOODLES BHD,7182
EKOVEST,EKOVEST BHD,8877
EKSONS,EKSONS CORP BHD,9016
ELKDESA,ELK-DESA RESOURCES BHD,5228
ELSOFT,ELSOFT RESEARCH BHD,0090
EMETALL,EONMETALL GROUP BHD,7217
EMICO,EMICO HOLDINGS BHD,9091
ENCORP,ENCORP BHD,6076
ENGKAH,ENG KAH CORP BHD,7149
ENGTEX,ENGTEX GROUP BHD,5056
ENRA,ENRA GROUP BHD,8613
EPMB,EP MANUFACTURING BHD,7773
ESAFE,EVERSAFE RUBBER BHD,0190
ESCERAM,ES CERAMICS TECHNOLOGY BHD,0100
EUPE,EUPE CORP BHD,6815
EURO,EURO HOLDINGS BHD,7208
EUROSP,EUROSPAN HOLDINGS BHD,7094
EVERGRN,EVERGREEN FIBREBOARD BHD,5101
EWEIN,EWEIN BHD,7249
EWINT,ECO WORLD INTERNATIONAL BHD,5283
F&N,FRASER & NEAVE HOLDINGS BHD,3689
FACBIND,FACB INDUSTRIES INC BHD,2984
FAJAR,FAJARBARU BUILDER GROUP BHD,7047
FAREAST,FAR EAST HOLDINGS BHD,5029
FARLIM,FARLIM GROUP MALAYSIA BHD,6041
FAVCO,FAVELLE FAVCO BHD,7229
FCW,FCW HOLDINGS BHD,2755
FGV,FELDA GLOBAL VENTURES HOLDINGS BHD,5222
FIAMMA,FIAMMA HOLDINGS BHD,6939
FIBON,FIBON BHD,0149
FIHB,FEDERAL FURNITURE HOLDINGS M BHD,8605
FIMACOR,FIMA CORPORATION BHD,3107
FINTEC,FINTEC GLOBAL BERHAD,0150
FITTERS,FITTERS DIVERSIFIED BHD,9318
FLBHD,FOCUS LUMBER BHD,5197
FOCUS,FOCUS DYNAMICS GROUP BHD,0116
FOCUSP,FOCUS POINT HOLDINGS BHD,0157
FPGROUP,FOUNDPAC GROUP BHD,5277
FPI,FORMOSA PROSONIC INDUSTRIES,9172
FREIGHT,FREIGHT MANAGEMENT HOLDINGS BHD,7210
FRONTKN,FRONTKEN CORP BHD,0128
FSBM,FSBM HOLDINGS BHD,9377
G3,G3 GLOBAL BHD,7184
GADANG,GADANG HOLDINGS BHD,9261
GAMUDA,GAMUDA BHD,5398
GASMSIA,GAS MALAYSIA BERHAD,5209
GBGAQRS,GABUNGAN AQRS BHD,5226
GCB,GUAN CHONG BHD,5102
GCE,GRAND CENTRAL ENTERPRISES BHD,5592
GDB,GDB HOLDINGS BHD,0198
GDEX,GD EXPRESS CARRIER BHD,0078
GENETEC,GENETEC TECHNOLOGY BHD,0104
GENM,GENTING MALAYSIA BHD,4715
GENP,GENTING PLANTATIONS BHD,2291
GENTING,GENTING BHD,3182
GESHEN,GE-SHEN CORP BHD,7197
GETS,GETS GLOBAL BHD,5079
GFM,GFM SERVICES BHD,0039
GHLSYS,GHL SYSTEMS BHD,0021
GKENT,GEORGE KENT MALAYSIA BHD,3204
GLBHD,GOLDEN LAND BHD,7382
GLOMAC,GLOMAC BHD,5020
GLOTEC,GLOBALTEC FORMATION BERHAD,5220
GMUTUAL,GROMUTUAL BHD,9962
GNB,G NEPTUNE BHD,0045
GOB,GLOBAL ORIENTAL BHD,1147
GOCEAN,GREEN OCEAN CORP BHD,0074
GOODWAY,GOODWAY INTEGRATED INDUSTRIES BHD,7192
GOPENG,GOPENG BHD,2135
GPA,GPA HOLDINGS BHD,7096
GPACKET,GREEN PACKET BHD,0082
GPHAROS,GOLDEN PHAROS BHD,5649
GRANFLO,GRAND-FLO BHD,0056
GREENYB,GREENYIELD BHD,0136
GSB,GSB GROUP BHD,7077
GTRONIC,GLOBETRONICS TECHNOLOGY BHD,7022
GUH,GUH HOLDINGS BHD,3247
GUNUNG,GUNUNG CAPITAL BHD,7676
GUOCO,GUOCOLAND MALAYSIA BHD,1503
HAIO,HAI-O ENTERPRISE BHD,7668
HALEX,HALEX HOLDINGS BHD,5151
HANDAL,HANDAL RESOURCES BHD,7253
HAPSENG,HAP SENG CONSOLIDATED BHD,3034
HARBOUR,HARBOUR-LINK GROUP BHD,2062
HARISON,HARRISONS HOLDINGS (MALAYSIA) BHD,5008
HARNLEN,HARN LEN CORP BHD,7501
HARTA,HARTALEGA HOLDINGS BHD,5168
HBGLOB,HB GLOBAL LTD,5187
HCK,HCK CAPITAL GROUP BHD,7105
HEIM,HEINEKEN MALAYSIA BHD,3255
