code,name,url
5204,Prestariang Bhd (PSTG),https://www.investing.com/equities/prestariang-bhd-dividends
3204,George Kent (Malaysia) Bhd (GKMS),https://www.investing.com/equities/george-kent-(malaysia)-bhd-dividends
0108,N2N Connect Bhd (NNCB),https://www.investing.com/equities/n2n-connect-bhd-dividends
0001,Supercomnet Technologies Bhd (SCTH),https://www.investing.com/equities/supercomnet-technologies-bhd-dividends
4588,UMW Holdings Bhd (UMWS),https://www.investing.com/equities/umw-holdings-bhd-dividends
7078,Ahmad Zaki Resources Bhd (AZRB),https://www.investing.com/equities/ahmad-zaki-resources-bhd-dividends
4324,Hengyuan Refining Company Bhd (HENY),https://www.investing.com/equities/shell-refining-company-dividends
4065,PPB Group Bhd (PEPT),https://www.investing.com/equities/ppb-group-bhd-dividends
1066,RHB Bank Bhd (RHBC),https://www.investing.com/equities/rhb-capital-bhd-dividends
0111,K-One Technology Bhd (KONE),https://www.investing.com/equities/k-one-technology-bhd-dividends
0185,HSS Engineers Bhd (HSSE),https://www.investing.com/equities/hss-engineers-bhd-dividends
5166,Minda Global Bhd (MIND),https://www.investing.com/equities/masterskill-education-group-dividends
9318,Fitters Diversified Bhd (FITT),https://www.investing.com/equities/fitters-diversified-bhd-dividends
8419,Pansar Bhd (PANS),https://www.investing.com/equities/pansar-bhd-dividends
0023,IFCA MSC Bhd (IFCA),https://www.investing.com/equities/ifca-msc-bhd-dividends
9261,Gadang Holdings Bhd (GADA),https://www.investing.com/equities/gadang-holdings-bhd-dividends
4634,POS Malaysia&Services Holdings Bhd (PSHL),https://www.investing.com/equities/pos-malaysia-services-holdings-bhd-dividends
7052,Padini Holdings Bhd (PDNI),https://www.investing.com/equities/padini-holdings-bhd-dividends
3859,Magnum Bhd (MAGM),https://www.investing.com/equities/magnum-bhd-dividends
0054,Karyon Industries Bhd (KARY),https://www.investing.com/equities/karyon-industries-bhd-dividends
5094,CSC Steel Holdings Bhd (CSTH),https://www.investing.com/equities/csc-steel-holdings-bhd-dividends
0148,Sunzen Biotech Bhd (SZBB),https://www.investing.com/equities/sunzen-biotech-bhd-dividends
78,GD Express Carrier Bhd (GDEX),https://www.investing.com/equities/gd-express-carrier-bhd-dividends
7088,Poh Huat Resources Holdings (PHUA),https://www.investing.com/equities/poh-huat-resources-holdings-dividends
6556,Ann Joo Resources Bhd (ANNJ),https://www.investing.com/equities/ann-joo-resources-bhd-dividends
6599,AEON Co (Malaysia) Bhd (AEOM),https://www.investing.com/equities/aeon-co-(m)-bhd-dividends
5148,UEM Sunrise Bhd (UMSB),https://www.investing.com/equities/uem-sunrise-bhd-dividends
2127,Comfort Gloves Bhd (COMF),https://www.investing.com/equities/integrated-rubber-corporation-dividends
5259,EA Technique M Bhd (EATE),https://www.investing.com/equities/ea-technique-m-bhd-dividends
7293,Yinson Holdings Bhd (YINS),https://www.investing.com/equities/yinson-holdings-bhd-dividends
7233,Dufu Tech Corp Bhd (DUFU),https://www.investing.com/equities/dufu-tech-corp-bhd-dividends
4502,Media Prima Bhd (MPRM),https://www.investing.com/equities/media-prima-bhd-dividends
0084,Techfast Holdings Bhd (TCHF),https://www.investing.com/equities/techfast-holdings-bhd-dividends
0120,VisDynamics Holdings Bhd (VSDY),https://www.investing.com/equities/visdynamics-holdings-bhd-dividends
5180,CapitaLand Malaysia Mall Trust (CAMA),https://www.investing.com/equities/capitamalls-malaysia-trust-dividends
2852,Cahya Mata Sarawak Bhd (CMSM),https://www.investing.com/equities/cahya-mata-sarawak-bhd-dividends
0163,Careplus Group Bhd (CARE),https://www.investing.com/equities/careplus-group-bhd-dividends
5070,Protasco Bhd (PRTO),https://www.investing.com/equities/protasco-bhd-dividends
0193,Kejuruteraan Asastera Bhd (KEJU),https://www.investing.com/equities/kejuruteraan-asastera-dividends
5703,Muhibbah Engineering M Bhd (MUHI),https://www.investing.com/equities/muhibbah-engineering-m-bhd-dividends
0136,Greenyield Bhd (GRYB),https://www.investing.com/equities/greenyield-bhd-dividends
5681,Petronas Dagangan Bhd (PETR),https://www.investing.com/equities/petronas-dagangan-bhd-dividends
5095,HeveaBoard Bhd (HEVE),https://www.investing.com/equities/heveaboard-bhd-dividends
0183,Salutica Bhd (SALU),https://www.investing.com/equities/salutica-bhd-dividends
9571,Mitrajaya Holdings Bhd (MITR),https://www.investing.com/equities/mitrajaya-holdings-bhd-dividends
0123,Privasia Technology Bhd (PRTB),https://www.investing.com/equities/privasia-technology-bhd-dividends
5053,OSK Holdings Bhd (OSKH),https://www.investing.com/equities/osk-holdings-bhd-dividends
5252,Sasbadi Holdings Bhd (SAHO),https://www.investing.com/equities/sasbadi-holdings-bhd-dividends
5230,Tune Protect Group Bhd (TUNE),https://www.investing.com/equities/tune-protect-group-bhd-dividends
5254,Boustead Plantations Bhd (BOPL),https://www.investing.com/equities/boustead-plantations-bhd-dividends
3174,Land General Bhd (LAND),https://www.investing.com/equities/land-general-bhd-dividends
7174,CAB Cakaran Corporation Bhd (CABC),https://www.investing.com/equities/cab-cakaran-corporation-bhd-dividends
5272,Ranhill Holdings Ltd (RANH),https://www.investing.com/equities/symphony-house-bhd-dividends
5141,Dayang Enterprise Holdings Bhd (DEHB),https://www.investing.com/equities/dayang-enterprise-holdings-bhd-dividends
0039,GFM Services Bhd (GFMS),https://www.investing.com/equities/gfm-services-dividends
